№,Point_type,Category,Name_mon,Name_eng,Aimag_name_mon,Aimag_name_eng,Sum_name_mon,Sum_name_eng,Lat,Long,Phone,Photo_URL,Name_kr,Name_jp,Name_cn,Name_ru
11,1,жуулчны бааз,Нуурын өглөө кэмп,Nuuryn Ugluu Camp,Архангай,Arkhangai,Тариат,Tariat,48.14068,99.80953,99050636,https://www.dropbox.com/scl/fi/y4e4byckmw4fsnxqnl6tz/.jpg?rlkey=u6zhcvke0f1xuqw5zpmspup02&raw=1,누린 우글루 캠프,ヌーリン ウグルー キャンプ,努伦乌格鲁营地,Лагерь Нуурын Углуу
12,1,жуулчны бааз,Хорго уул буудал,Khorgo Mountain Resort,Архангай,Arkhangai,Тариат,Tariat,48.14299,99.77713,96963539,https://www.dropbox.com/scl/fi/17f2bgp3oouvylfzebaxk/.jpg?rlkey=svaur6w3zs4tgvwzkh37d86w7&raw=1,코르고 산악 리조트,ホルゴマウンテンリゾート,霍尔戈山度假村,Курорт Хорго Уул
13,1,жуулчны бааз,Хунт нуур гэр буудал,Khunt Nuur Ger Camp,Архангай,Arkhangai,Тариат,Tariat,48.14607,99.76977,,https://www.dropbox.com/scl/fi/likknt81taqx0eeop4cc0/.jpg?rlkey=9159npyt3tar6bw1dmtx1gyjl&raw=1,쿤트 누르 게르 캠프,クンヌールゲルキャンプ,昆特努尔格尔营地,Лагерь Хун Нуур Гер
14,1,жуулчны бааз,Эко гэр буудал,Eco Ger Camp,Архангай,Arkhangai,Тариат,Tariat,48.14554,99.76692,,https://www.dropbox.com/scl/fi/ivbo0tnxrdpm74uj399z9/.jpg?rlkey=af470dj74i7rsm6107u480pli&raw=1,에코게르 캠프,エコゲルキャンプ,生态蒙古包营,Эко Гер Лагерь
15,1,жуулчны бааз,Тэр их нуур эко буудал,Ter Ikh Lake Eco Camp,Архангай,Arkhangai,Тариат,Tariat,48.14749,99.76486,88203439,https://www.dropbox.com/scl/fi/3s1to6jd2g35x4r3ql5nf/.jpg?rlkey=sqq6ck7cfm154hbungucs8xn7&raw=1,Ter Ikh 호수 에코 캠프,テル イフ湖エコ キャンプ,泰尔伊克湖生态营地,Эко-лагерь на озере Тер Их
16,1,жуулчны бааз,Бидний нуур кэмп,Bidnii Nuur Camp,Архангай,Arkhangai,Тариат,Tariat,48.14714,99.76211,95958131,https://www.dropbox.com/scl/fi/vquq0w2ngt858vai882oe/.jpg?rlkey=j929i4snj9rrrykg422vapis6&raw=1,비드니 누르 캠프,ビドニー ヌール キャンプ,比德尼努尔营地,Лагерь Бидный Нуур
17,1,жуулчны бааз,Жаргалан эко кэмп,Jargalan Eco Camp,Архангай,Arkhangai,Тариат,Tariat,48.14833,99.75751,88029735,https://www.dropbox.com/scl/fi/dvobgkwvcvre45zo5cssk/.jpg?rlkey=t7ox62s8gang5vblo44w10kvh&raw=1,자르갈란 에코캠프,ジャルガラン エコ キャンプ,贾尔格兰生态营,Эко Лагерь Жаргалан
18,1,жуулчны бааз,Гэр буудал,Ger Camp,Архангай,Arkhangai,Тариат,Tariat,48.13181,99.67897,,https://www.dropbox.com/scl/fi/awxu47uk2r8d5kkrh6s2g/.jpg?rlkey=bzpzuklflaind2qwd4a6vw1bw&raw=1,게르 캠프,ゲルキャンプ,蒙古包营地,Гер Кэмп
19,1,жуулчны бааз,Тунгалаг тамир лож,Tungalag Tamir Lodge,Архангай,Arkhangai,Ихтамир,Ikhtamir,47.59815,101.24892,88084716,https://www.dropbox.com/scl/fi/i7bky200rkkq9vlkutstz/.png?rlkey=ksbijxkhrzpayg2tu02gop3i8&raw=1,퉁갈라그 타미르 로지,トゥンガラグ タミール ロッジ,通加拉格塔米尔旅馆,Тунгалаг Тамир Лодж
20,1,жуулчны бааз,Тайхар жуулчны бааз,Taikhar Tourist Camp,Архангай,Arkhangai,Ихтамир,Ikhtamir,47.59971,101.25576,99004868,https://www.dropbox.com/scl/fi/n9klmedu7opm5u7p4pkwn/.jpg?rlkey=88erzkk4fs1ecuqgremw4whda&raw=1,타이카르 관광 캠프,タイカール ツーリスト キャンプ,泰哈尔旅游营地,Туристическая база Тайхар
21,1,жуулчны бааз,Жуулчны бааз,Tourist Camp,Архангай,Arkhangai,Ихтамир,Ikhtamir,47.60185,101.2583,,,관광캠프,ツーリストキャンプ,旅游营地,Туристический лагерь
22,1,жуулчны бааз,Хавтгай мод жуулчны бааз,Khavtgai Mod Tourist Camp,Архангай,Arkhangai,Эрдэнэбулган,Erdenebulgan,47.47967,101.42244,98334044,https://www.dropbox.com/scl/fi/rurqs7b9vuhivwpc8p9e0/.jpg?rlkey=tsxrq9h9l9s3cbsupslw4srcp&raw=1,카브트가이 모드 투어리스트 캠프,カブトガイ モッド ツーリスト キャンプ,Khavtgai Mod 旅游营地,Туристический лагерь Хавтгай Мод
23,1,жуулчны бааз,Алтан нутаг жуулчны бааз,Altan Nutag Tourist Camp,Архангай,Arkhangai,Эрдэнэбулган,Erdenebulgan,47.31883,101.65051,88450478,https://www.dropbox.com/scl/fi/c4quvu4pecb57jb68eqlg/.jpg?rlkey=29ajdy2rhv23leavperqi5o2u&raw=1,알탄누타그 투어리스트 캠프,アルタン ヌタグ ツーリスト キャンプ,阿尔坦努塔格旅游营地,Туристический лагерь Алтан Нутаг
24,3,Рашаан сувилал,Цэнхэрийн халуун рашаан ,Tsenkher Hot Springs,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.31933,101.65532,99698634,https://www.dropbox.com/scl/fi/fui04madl59gxqzx67cpf/.jpg?rlkey=jirgisr5gc9j5i7vo4vccr9ni&raw=1,첸케르 온천,ツェンケル温泉,岑克温泉,Ценхерские горячие источники
25,3,Рашаан сувилал,Дуут ресорт монгол,Duut Resort Mongolia,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.32006,101.65866,99052499,https://www.dropbox.com/scl/fi/ewnipllvpmiw5y8toi3uh/.jpg?rlkey=fg3hy2u950rzy3obou5x3pjau&raw=1,두우트 리조트 몽골리아,ダウト リゾート モンゴリア,蒙古杜特度假村,Курорт Дуут Монголия
26,3,Рашаан сувилал,Хангай ресорт,Khangai Resort,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.32212,101.65586,89639997,https://www.dropbox.com/scl/fi/gkyu1bghqyrjqq9z6vg74/.jpg?rlkey=jjj27r7la6mdu4hyuv0kufoux&raw=1,칸가이 리조트,ハンガイ リゾート,康艾度假村,Хангай Резорт
27,3,Рашаан сувилал,Гэр буудал,Ger Camp,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.32403,101.65319,86001817,https://www.dropbox.com/scl/fi/15b1jk55afc24u84ps38h/1.jpg?rlkey=jlfk4bjrosmc12v88d9adl2cx&raw=1,게르 캠프,ゲルキャンプ,蒙古包营地,Гер Кэмп
28,3,Рашаан сувилал,Шивээт манхан халуун рашаан амралт,Shiveet Mankhan Hot Spring,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.32105,101.65662,89100889,https://www.dropbox.com/scl/fi/7t4wm380wcw6jzf469853/.jpg?rlkey=0b2pzwcgj84gcjkx228jp4k6g&raw=1,쉬벳 만칸 온천,シベット マンカン温泉,什维特曼汗温泉,Горячий источник Шивит Манхан
29,3,Рашаан сувилал,Рашаан эрдэнэ гэр буудал,Rashaan Erdene Ger Camp,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.32346,101.66326,88333150,https://www.dropbox.com/scl/fi/agb6ntvxumkor6k7zck33/.jpg?rlkey=840k6n9s1wpmuuu0fshjn6glg&raw=1,라샨 에르덴 게르 캠프,ラシャーン エルデネ ゲル キャンプ,Rashaan Erdene Ger 营地,Лагерь Рашаан Эрдене Гер
30,3,Рашаан сувилал,Гэр буудал,Ger Camp,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.31989,101.69431,,,게르 캠프,ゲルキャンプ,蒙古包营地,Гер Кэмп
31,3,Рашаан сувилал,Булан өргөөт кэмп,Bulan Urguut Camp,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.45241,101.75464,98110353,https://www.dropbox.com/scl/fi/fqqefo0l6v6sz6zohv38f/.jpg?rlkey=7hzl9q2psxt7bw0t0ks2whpnq&raw=1,불란 우르구트 캠프,ブラン ウルグート キャンプ,布兰乌尔古特营地,Лагерь Булан Ургуут
32,3,Рашаан сувилал,Янгирт хайрхан амралт,Yangirt Khairkhan Resort,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.46235,101.62987,95653399,https://www.dropbox.com/scl/fi/km8h83z5h7b2vx4hw3gpg/.jpg?rlkey=m9c37sw880l223qg2k29d897v&raw=1,양기르트 카이르칸 리조트,ヤンギルト カイルカン リゾート,扬吉尔特凯尔汗度假村,Янгирт Хайрхан Резорт
33,2,Амралтын газар,Жавхлант амралт,Javkhlant Resort,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.45059,101.75632,80673737,,자브클란트 리조트,ヤブクラント リゾート,贾夫赫兰特度假村,Джавхлант Резорт
34,1,жуулчны бааз,Цэнхэр хангай кэмп,Tsenkher Khangai Camp,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.45226,101.75654,89900419,,첸케르 칸가이 캠프,ツェンケル ハンガイ キャンプ,岑克坎盖营地,Лагерь Ценхер Хангай
35,1,жуулчны бааз,Ханхрын хишиг,Khankharyn Khishig Camp,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.45694,101.74763,95626622,,칸카린 키식 캠프,ハンカリン・キシグ・キャンプ,汗卡林希希格营地,Khankharyn Khishig Camp
36,1,жуулчны бааз,Ара цогцолбор,Ara Complex,Архангай,Arkhangai,Булган,Bulgan,47.48439,101.5543,80843325,https://www.dropbox.com/scl/fi/nwu70qsshcohcsi72y935/.jpg?rlkey=jdfmmx9l3eoca24ntrguu8l43&raw=1,아라콤플렉스,アラコンプレックス,阿糖胞苷复合物,Комплекс Ара
37,1,жуулчны бааз,Чингисийн хүрээ жуулчны бааз,Chinggisiin Khuree Tourist Camp,Архангай,Arkhangai,Булган,Bulgan,47.43965,101.48853,99671580,https://www.dropbox.com/scl/fi/m0r0d7wwvoeoa1vpe33hh/.jpg?rlkey=8wb7om3h3emmoew5bjkwth2z7&raw=1,칭기신 쿠리 투어리스트 캠프,チンギシン クレー ツーリスト キャンプ,成吉思汗库里旅游营,Туристический лагерь Чингисийн Хурээ
38,1,жуулчны бааз,Майдар сан кэмп,Maidar San Camp,Архангай,Arkhangai,Булган,Bulgan,47.44688,101.51619,88036424,https://www.dropbox.com/scl/fi/x621akbcfgeledaov7ijd/.jpg?rlkey=rlcjf22dnrmhamlrau1rdnb72&raw=1,마이다르 산 캠프,マイダール サン キャンプ,迈达尔桑坎普,Лагерь Майдар Сан
39,1,жуулчны бааз,Булган кэмп,Bulgan Camp,Архангай,Arkhangai,Булган,Bulgan,47.35928,101.30356,96636668,,불간캠프,ボルガンキャンプ,布尔干营地,Булганский лагерь
40,3,Рашаан сувилал,Цагаан толгойн рашаан,Tsagaan Tolgoi Spa,Архангай,Arkhangai,Цэцэрлэг,Tsetserleg,49.0349,100.94505,,https://www.dropbox.com/scl/fi/iqthq5cpsga6asls8723p/.jpg?rlkey=sevj2v2clm6qwuupgueuwlwas&raw=1,차가안 톨고이 봄,ツァガーン トルゴイ 春,查干陶勒盖 泉,Источник Цагаан Толгой
41,1,жуулчны бааз,Улаан хадны хөвөө жуулчны бааз,Ulaan Khadny Khuvuu Camp,Архангай,Arkhangai,Өндөр-Улаан,Undur-Ulaan,48.10212,100.30232,95340554,https://www.dropbox.com/scl/fi/0mvgf2jhxcmzxmqvc1ug1/.jpg?rlkey=91ygc058okr2agqfxai0o8bpx&raw=1,울란 카드니 쿠부 캠프,ウラン・カドニー・フヴー・キャンプ,乌兰哈德尼库乌营地,Лагерь Улаан Хадны Хувуу
42,1,жуулчны бааз,Дөрвөн бэрх амралт,Durvun Berkh Resort,Архангай,Arkhangai,Өндөр-Улаан,Undur-Ulaan,48.0988,100.30578,80948206,https://www.dropbox.com/scl/fi/6euzb6u46zfbwq9r64w1p/.jpg?rlkey=nohd5f9bi2axv2uq4r5hlk09t&raw=1,두르분 버크 리조트,ダーブン バーク リゾート,杜尔文伯克度假村,Курорт Дурвун Берх
43,1,жуулчны бааз,Батхүрээ кэмп,Batkhuree Camp,Архангай,Arkhangai,Тариат,Tariat,48.14645,100.2743,89112414,https://www.dropbox.com/scl/fi/lyk4rkd94179g1bb747l4/.jpg?rlkey=gkkyrpuoroaf1aprdy5eey0xz&raw=1,바트후리 캠프,バトクリーキャンプ,巴特胡里营地,Лагерь Батхури
44,1,жуулчны бааз,Батцагаан кэмп,Battsagaan Camp,Архангай,Arkhangai,Өндөр-Улаан,Undur-Ulaan,48.09328,100.31304,98012424,https://www.dropbox.com/scl/fi/zpkiuh28g4v8l6kixwwxj/.jpg?rlkey=874sakh6l3hhik8era1jedmbf&raw=1,바차간 캠프,バツァガーンキャンプ,巴特萨甘营地,Лагерь Батцагаан
45,6,замын гуанз,Талын хүлэг,Talyn Khuleg,Архангай,Arkhangai,Өндөр-Улаан,Undur-Ulaan,48.09469,100.32097,,,탈린 쿨렉,タリン・フーレグ,塔林·胡勒格,Талин Хулег
46,1,жуулчны бааз,Жуулчны бааз,Tourist Camp,Архангай,Arkhangai,Тариат,Tariat,48.1427,100.27797,,,관광캠프,ツーリストキャンプ,旅游营地,Туристический лагерь
47,1,жуулчны бааз,Өгий жуулчны бааз,Ugii Tour Camp,Архангай,Arkhangai,Өгий нуур,Ugiinuur,47.7881,102.77065,99268231,,우기이 투어 캠프,うぎいツアーキャンプ,乌吉旅游营,Угии Тур Лагерь
48,1,жуулчны бааз,Магнай тур,Magnai Tour,Архангай,Arkhangai,Өгий нуур,Ugiinuur,47.78995,102.77573,99859060,https://www.dropbox.com/scl/fi/dhbqkb1p56t4b910wtmsr/.jpg?rlkey=lnwaeja6vkxmmjd4mq66j7ub2&raw=1,마그나이 투어,マグナイツアー,麦格奈之旅,Магнай Тур
49,1,жуулчны бааз,Өсөх өгий кэмп,Usukh Ugii Camp,Архангай,Arkhangai,Өгий нуур,Ugiinuur,47.79567,102.77898,88305564,https://www.dropbox.com/scl/fi/tw71tdl47yycgfcvbayjl/.jpg?rlkey=k6ueo1yr2ha87m80i49x7keno&raw=1,우수크 우기 캠프,ウスク ウギー キャンプ,乌苏赫乌吉营地,Лагерь Усух Угий
50,1,жуулчны бааз,Янжкагийн өгий нуур кэмп,Yanjka'S Ugiinuur Camp,Архангай,Arkhangai,Өгий нуур,Ugiinuur,47.79568,102.78241,88022431,https://www.dropbox.com/scl/fi/huzp84j3v8g9z8wbdzzbh/.jpg?rlkey=ci7f5hhz8aat6q6pvx07j8zt6&raw=1,Yanjka'S Ugiinuur 캠프,ヤンスカのウギヌールキャンプ,扬卡的乌吉努尔营地,Лагерь Яньки Угиинуур
51,1,жуулчны бааз,Өгий кэмп,Ugii Camp,Архангай,Arkhangai,Өгий нуур,Ugiinuur,47.78856,102.81891,99105852,https://www.dropbox.com/scl/fi/qx9n9vmxzoxc5kfz7q3ut/.jpg?rlkey=hexd6yu1meul0rkhezvib446e&raw=1,우기이 캠프,うぎいキャンプ,乌吉营地,Лагерь Угии
52,1,жуулчны бааз,Өгий нуур усан парк,Ugiinuur Water Park,Архангай,Arkhangai,Өгий нуур,Ugiinuur,47.77872,102.81499,95592226,https://www.dropbox.com/scl/fi/vqlqrn5402sri8hhceote/.jpg?rlkey=r809k7ng208i78dey21amjp8w&raw=1,우기누르 워터파크,ウギヌール ウォーター パーク,乌吉努尔水上公园,Аквапарк Угийнуур
53,1,жуулчны бааз,Өгий далай кэмп,Ugii Dalai Camp,Архангай,Arkhangai,Өгий нуур,Ugiinuur,47.75933,102.81393,99335428,https://www.dropbox.com/scl/fi/vty3cyk5imbnmh61hmc7w/.jpg?rlkey=f36kfbsdyfl612saui6wggek0&raw=1,우기 달라이 캠프,ウギイ ダライ キャンプ,乌吉达赖营,Лагерь Угии Далай
54,1,жуулчны бааз,Өгий хишиг ресорт,Ugii Khishig Resort,Архангай,Arkhangai,Өгий нуур,Ugiinuur,47.75437,102.80768,86929999,https://www.dropbox.com/scl/fi/z85xnm7g6h27pfjpr6xuo/.jpg?rlkey=lqldgr2athvmycf0a0wgy99yw&raw=1,우기 키시그 리조트,ウギー キシグ リゾート,乌吉希希格度假村,Курорт Угий Хишиг
55,1,жуулчны бааз,Мэндээ ахын кэмп,Mendee Akhiin Camp,Архангай,Arkhangai,Өгий нуур,Ugiinuur,47.75304,102.81084,,https://www.dropbox.com/scl/fi/cu5zxnlt0ft3twruh2okk/.jpg?rlkey=gdpow1f14d9gcfrbafezaloef&raw=1,멘디 아키인 캠프,メンディー・アキイン・キャンプ,门迪·阿金营地,Лагерь Менди Ахийн
56,1,жуулчны бааз,Хатан өгий жуулчны бааз,Khatan Ugii Tourist Camp,Архангай,Arkhangai,Өгийнуур,Ugiinuur,47.7521,102.79187,99184647,https://www.dropbox.com/scl/fi/afgc3fmkue9qe0l0blh67/.jpg?rlkey=teldpshx8df7b50a4gzu7a55j&raw=1,카탄 우기 투어리스트 캠프,ハタン ウギ ツーリスト キャンプ,Khatan Ugii 旅游营地,Туристический лагерь Хатан Угий
57,3,Рашаан сувилал,Хашаатын рашаан,Khashaat Spring,Архангай,Arkhangai,Хашаат,Khashaatr,47.45526,103.23914,,,카샤트 봄,カシャート 春,卡莎特 春天,Хашаат Весна
58,1,жуулчны бааз,Цайдам жуулчны бааз,Tsaidam Tourist Camp,Архангай,Arkhangai,Хашаат,Khashaatr,47.53799,102.84141,99236888,https://www.dropbox.com/scl/fi/e52w3zn9fatg0qb7ur6nq/.jpg?rlkey=tf93sn9kt0jcbf70a2cxrlhro&raw=1,차이담 투어리스트 캠프,ツァイダム ツーリスト キャンプ,柴达木旅游营地,Туристический лагерь Цайдам
59,1,жуулчны бааз,Цирка жуулчны бааз,Tsirka Tourist Camp,Архангай,Ulaanbaatar,Өгийнуур,Ugiinuur,47.78992,102.74241,80030909,https://www.dropbox.com/scl/fi/55p3e3w06sj76npn4xnne/.jpg?rlkey=l6ncira8af7kqppqedxqw5f5y&raw=1,트시르카 투어리스트 캠프,ツィルカ ツーリスト キャンプ,茨尔卡旅游营地,Туристическая база Цирка
60,1,жуулчны бааз,Элст булаг гэр кэмп,Elst Bulag Ger Camp,Архангай,Arkhangai,Тариат,Tariat,48.13761,99.68952,99221921,https://www.dropbox.com/scl/fi/ky09hdcs9ecfikzqretna/.jpg?rlkey=xw8gu2avw049mu9uuj3pzb644&raw=1,엘스트 불라그 게르 캠프,エルスト ブラッグ ゲル キャンプ,埃尔斯特·布拉格格尔营地,Лагерь Эльст Булаг Гер
61,1,жуулчны бааз,Дэл хад ,Del Khad,Архангай,Arkhangai,Тариат,Tariat,48.13873,99.79008,,https://www.dropbox.com/scl/fi/yn6ro2mq4ki110a3io8tn/.jpg?rlkey=265hc2kwdllc666kydo9jwqym&raw=1,델 카드,デル・カド,德尔卡德,Дель Хад
62,1,жуулчны бааз,Бадмаараг кэмп,Badmaarag Tourist Camp,Архангай,Arkhangai,Тариат,Tariat,48.11758,99.93863,88223935,https://www.dropbox.com/scl/fi/oiyvptyw5nrm9ckvvthav/.jpg?rlkey=kc0mtpxyceftqqwy69byxyh9e&raw=1,바드마라그 투어리스트 캠프,バドマーラグ ツーリスト キャンプ,巴德马拉格旅游营地,Туристический лагерь Бадмаараг
63,1,жуулчны бааз,Мөнх хөх хангай кэмп,Munkh Khukh Khangai Camp,Архангай,Arkhangai,Тариат,Tariat,48.18571,99.79525,,,뭉크 쿠크 칸가이 캠프,ムンク クク ハンガイ キャンプ,蒙克库克坎盖营地,Лагерь Мунх Хух Хангай
64,1,жуулчны бааз,Ар номад,Ar Nomad,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.45508,101.74564,85555389,https://www.dropbox.com/scl/fi/6ilsgd67qy8n4q0pnnwms/.jpg?rlkey=e6ygw9uj3747n65f72v5lfeyi&raw=1,아르 노마드,アル・ノマド,游牧民族,Ар Кочевник
65,1,жуулчны бааз,Эко гэр амралт,Eco Ger Resort,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.32722,101.65191,88010550,https://www.dropbox.com/scl/fi/7dk4gurpp5dwweaw3bi0u/.jpg?rlkey=j9md19y6gehm8z2sm9pf7rdo9&raw=1,에코게르 리조트,エコ ジェル リゾート,生态格尔度假村,Эко Гер Резорт
66,1,жуулчны бааз,Гэр цогцолбор,Ger Complex,Архангай,Arkhangai,Хархорин,Kharkhorin,47.1302,102.95738,85229006,https://www.dropbox.com/scl/fi/uhq0jqgm5hocpwbikk5nu/.jpg?rlkey=7frvu10eb96kt0l7rxuvkbwsa&raw=1,게르 콤플렉스,ゲルコンプレックス,蒙古包综合体,Гер Комплекс
67,1,жуулчны бааз,Могойтын рашаан сувилал,Mogoit Mineral Water Spa,Архангай,Arkhangai,Бат-Өлзий,Bat-Ulzii,46.74976,102.23091,88111403,https://www.dropbox.com/scl/fi/256j1nmlnfx1j8d0skkx8/.jpg?rlkey=zzyn0ovl3axlwndl5hnz461a9&raw=1,모고이트 미네랄 워터 스파,モゴイト ミネラル ウォーター スパ,莫戈伊特矿泉水疗中心,Спа с минеральной водой Могоит
68,1,жуулчны бааз,Жуулны бааз,Tourist Camp,Архангай,Arkhangai,Өгийнуур,Ugiinuur,47.79589,102.78944,,,관광캠프,ツーリストキャンプ,旅游营地,Туристический лагерь
69,1,жуулчны бааз,Жуулны бааз,Tourist Camp,Архангай,Arkhangai,Өгийнуур,Ugiinuur,47.79448,102.78998,,,관광캠프,ツーリストキャンプ,旅游营地,Туристический лагерь
70,1,жуулчны бааз,Жуулны бааз,Tourist Camp,Архангай,Arkhangai,Өгийнуур,Ugiinuur,47.7851,102.81828,,,관광캠프,ツーリストキャンプ,旅游营地,Туристический лагерь
71,1,жуулчны бааз,Жуулны бааз,Tourist Camp,Архангай,Arkhangai,Өгийнуур,Ugiinuur,47.7832,102.81857,,,관광캠프,ツーリストキャンプ,旅游营地,Туристический лагерь
72,1,жуулчны бааз,Жуулны бааз,Tourist Camp,Архангай,Arkhangai,Өгийнуур,Ugiinuur,47.78033,102.81704,,,관광캠프,ツーリストキャンプ,旅游营地,Туристический лагерь
73,1,жуулчны бааз,Жуулны бааз,Tourist Camp,Архангай,Arkhangai,Өгийнуур,Ugiinuur,47.77441,102.81337,,,관광캠프,ツーリストキャンプ,旅游营地,Туристический лагерь
74,1,жуулчны бааз,Жуулны бааз,Tourist Camp,Архангай,Arkhangai,Өгийнуур,Ugiinuur,47.74996,102.79076,,,관광캠프,ツーリストキャンプ,旅游营地,Туристический лагерь
75,1,жуулчны бааз,Өгий нуур,Ugii nuur,Архангай,Arkhangai,Өгийнуур,Ugiinuur,47.75317,102.80414,,,우기누르,ウギイヌール,乌吉努尔,Угий нуур
76,1,жуулчны бааз,Эрдэнэ-Очир,Erdene-Ochir,Архангай,Arkhangai,Өгийнуур,Ugiinuur,47.74994,102.80196,,,에르덴-오키르,エルデネ・オチル,额尔德尼-奥其尔,Эрдэнэ-Очир
77,1,жуулчны бааз,Тэрх өргөө ,terkh urguu,Архангай,Arkhangai,Тариат,Tariat,48.18563,99.79993,,https://www.dropbox.com/scl/fi/afw3g66jy3fq4rg1mq0ia/.jpg?rlkey=k2grzfhvwmzx8y6x9ter4xtra&raw=1,테르크 우르구,テルク・ウルグー,泰尔赫乌尔古,Терх ургуу
